name,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy,grooming_frequency_value,shedding_value,energy_level_value,trainability_value,demeanor_value,trait,group
Japanese Chin,20.32,27.94,3.17514659,4.9895160700000005,10,12,0.4,0.6,0.6,0.4,0.4,Sweet,Toy Group
Japanese Spitz,30.48,38.1,4.535923700000001,11.33980925,12,14,0.4,0.4,0.6,0.8,0.8,Loyal,Foundation Stock Service
Jindo,45.72,55.88,13.6077711,22.6796185,14,14,0.4,0.6,0.8,0.4,0.4,Alert,Foundation Stock Service
Kai Ken,39.37,49.53,9.071847400000001,18.143694800000002,12,15,0.2,0.6,0.8,0.4,0.4,Loyal,Foundation Stock Service
Karelian Bear Dog,48.26,59.69,19.958064280000002,22.22602613,11,13,0.2,0.6,0.4,0.8,0.2,Loyal,Foundation Stock Service
Keeshond,43.18,45.72,15.875732950000002,20.41165665,12,15,0.6,0.6,0.6,0.8,0.8,Friendly,Non-Sporting Group
Kerry Blue Terrier,44.45,49.53,14.968548210000002,18.143694800000002,12,15,0.6,0.2,0.6,0.2,0.6,Smart,Terrier Group
Kishu Ken,43.18,55.88,13.6077711,27.2155422,11,13,0.2,0.6,0.8,0.4,0.4,Loyal,Foundation Stock Service
Komondor,64.77,69.85,36.287389600000004,45.359237,10,12,1,0.6,0.6,0.4,0.4,Loyal,Working Group
Kromfohrlander,38.1,45.72,9.071847400000001,15.875732950000002,13,15,0.6,0.8,0.6,0.6,0.4,Smart,Foundation Stock Service
Kuvasz,66.04,76.2,31.751465900000003,52.163122550000004,10,12,0.4,0.8,0.6,0.4,0.4,Loyal,Working Group
Labrador Retriever,54.61,62.230000000000004,24.947580350000003,36.287389600000004,10,12,0.4,0.8,1,1,1,Friendly,Sporting Group
Lagotto Romagnolo,40.64,48.26,10.886216880000001,15.875732950000002,15,17,0.2,0.2,0.6,1,0.6,Sweet,Sporting Group
Lakeland Terrier,35.56,38.1,7.71107029,7.71107029,12,15,0.4,0.2,0.6,0.6,0.6,Friendly,Terrier Group
Lancashire Heeler,25.4,30.48,4.082331330000001,7.71107029,12,15,0.2,0.6,0.8,0.8,0.8,Sweet,Miscellaneous Class
Lapponian Herder,45.72,50.8,31.751465900000003,31.751465900000003,10,14,0.4,0.6,0.6,1,0.4,Friendly,Foundation Stock Service
Leonberger,64.77,80.01,40.8233133,77.1107029,9,9,0.8,0.8,0.6,1,0.8,Friendly,Working Group
Lhasa Apso,25.4,27.94,5.4431084400000005,8.164662660000001,12,15,0.6,0.2,0.6,0.4,0.4,Confident,Non-Sporting Group
Löwchen,27.94,33.02,4.535923700000001,6.80388555,15,15,0.2,0.2,0.6,0.6,1,Sweet,Non-Sporting Group
Maltese,17.78,22.86,3.17514659,3.17514659,12,15,0.8,0.2,0.6,0.6,1,Gentle,Toy Group
Manchester Terrier (Standard),38.1,40.64,5.4431084400000005,9.979032140000001,15,17,0.4,0.4,0.6,0.8,0.6,Energetic,Terrier Group
Manchester Terrier (Toy),25.4,30.48,5.4431084400000005,5.4431084400000005,15,17,0.4,0.4,0.6,0.8,0.6,Energetic,Toy Group
Mastiff,69.85,76.2,54.4310844,104.32624510000001,6,10,0.2,0.4,0.6,0.6,0.6,Courageous,Working Group
Miniature American Shepherd,33.02,45.72,9.071847400000001,18.143694800000002,12,13,0.8,1,0.8,1,0.8,Gentle,Herding Group
Miniature Bull Terrier,25.4,35.56,8.164662660000001,12.70058636,11,13,0.2,0.4,0.8,0.4,0.6,Friendly,Terrier Group
Miniature Pinscher,25.4,31.75,3.62873896,4.535923700000001,12,16,0.2,0.2,0.6,0.4,0.6,Courageous,Toy Group
Miniature Schnauzer,30.48,35.56,4.9895160700000005,9.071847400000001,12,15,1,0.2,0.6,1,0.6,Friendly,Terrier Group
